Name,Region,Reach,Category
PriyaKapoor,Mumbai,1M,Beauty
Anjali Sharma,Delhi,800k,Lifestyle
Karthik Raj,Chennai,500k,Entertainment
Neha Kakkar,Bengaluru,1.2M,Beauty
Rohit Verma,Hyderabad,900k,Lifestyle
Sneha Shetty,Kolkata,700k,Entertainment
Pooja Desai,Ahmedabad,600k,Beauty
Aryan Singh,Pune,1M,Entertainment
Shruti Aggarwal,Jaipur,300k,Lifestyle
Ayesha Khan,Mumbai,1.5M,Beauty
Manish Malhotra,Delhi,2M,Lifestyle
Sushant Thakur,Chennai,400k,Entertainment
Kavya Reddy,Hyderabad,800k,Beauty
Divya Mehta,Bengaluru,1.3M,Lifestyle
Arjun Pratap,Pune,700k,Entertainment
Rhea Kapoor,Mumbai,900k,Beauty
Akshay Kumar,Delhi,1.1M,Lifestyle
Meera Nair,Kochi,300k,Beauty
Mohan Raj,Chennai,1.2M,Entertainment
Aishwarya Reddy,Hyderabad,500k,Lifestyle
Tania Verma,Bengaluru,600k,Beauty
Raghav Gupta,Mumbai,1.7M,Entertainment
Saloni Soni,Delhi,750k,Beauty
Kiran Rao,Ahmedabad,900k,Lifestyle
Sandeep Bhatt,Jaipur,450k,Entertainment
Poonam Jain,Pune,650k,Beauty
Ritu Srivastava,Lucknow,1.3M,Lifestyle
Vishal Shetty,Mumbai,2.2M,Entertainment
Smita Patel,Delhi,1M,Beauty
Alok Singh,Chennai,300k,Lifestyle
Vidya Sagar,Hyderabad,400k,Entertainment
Prerna Kapoor,Kolkata,700k,Beauty
Manav Kapoor,Bengaluru,900k,Lifestyle
Tara Menon,Chennai,1M,Entertainment
Esha Patel,Ahmedabad,600k,Beauty
Anil Kumar,Delhi,1.4M,Lifestyle
Rohini Sharma,Mumbai,1.2M,Beauty
Krishna Iyer,Chennai,500k,Entertainment
Harshita Bansal,Pune,700k,Lifestyle
Seema Gupta,Jaipur,800k,Beauty
Mukesh Reddy,Hyderabad,1.1M,Entertainment
Shraddha Batra,Delhi,1.5M,Lifestyle
Rajesh Vyas,Ahmedabad,400k,Entertainment
Shilpa Shetty,Mumbai,2M,Beauty
Anirudh Sharma,Delhi,1.8M,Lifestyle
Kajal Nanda,Chennai,700k,Beauty
Aditi Shah,Kolkata,900k,Lifestyle
Nitesh Agarwal,Bengaluru,1M,Entertainment
Tanvi Mittal,Hyderabad,1.3M,Beauty
Yash Sharma,Jaipur,500k,Lifestyle
